 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,proclass,proclass
800118349,HAYS SPECIALIST RECRUITMENT,963722,1,514.17,FRS STAFF AGENCY,06/09/18,514.17,Procurement,Human Resources,Human Resources
800118344,HAYS SPECIALIST RECRUITMENT,963723,1,349.72,FRS STAFF AGENCY,06/09/18,349.72,People Services,Human Resources,Human Resources
800118367,HAYS SPECIALIST RECRUITMENT,963724,1,540.76,FRS STAFF AGENCY,06/09/18,540.76,Fire Stations (North West),Human Resources,Human Resources
800118387,HAYS SPECIALIST RECRUITMENT,963726,1,883.40,FRS STAFF AGENCY,06/09/18,883.40,Finance Services,Human Resources,Human Resources
800118339,HAYS SPECIALIST RECRUITMENT,963727,1,351.54,FRS STAFF AGENCY,06/09/18,351.54,Information and Communication Technology,Human Resources,Human Resources
800118388,HAYS SPECIALIST RECRUITMENT,963728,1,620.90,FRS STAFF AGENCY,06/09/18,620.90,Service Improvement,Human Resources,Human Resources
800118340,HAYS SPECIALIST RECRUITMENT,963729,1,739.20,FRS STAFF AGENCY,06/09/18,739.20,Training and Professional Development,Human Resources,Human Resources
800118386,HAYS SPECIALIST RECRUITMENT,963730,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Procurement,Human Resources,Human Resources
800118326,HAYS SPECIALIST RECRUITMENT,963731,1,726.95,FRS STAFF AGENCY,06/09/18,726.95,General Counsel,Human Resources,Human Resources
800118369,HAYS SPECIALIST RECRUITMENT,963732,1,981.36,FRS STAFF AGENCY,06/09/18,981.36,Information and Communication Technology,Human Resources,Human Resources
800118336,HAYS SPECIALIST RECRUITMENT,963733,1,879.36,FRS STAFF AGENCY,06/09/18,879.36,Technical and Service Support,Human Resources,Human Resources
800118377,HAYS SPECIALIST RECRUITMENT,963734,1,372.33,FRS STAFF AGENCY,06/09/18,372.33,Management Support,Human Resources,Human Resources
800118342,HAYS SPECIALIST RECRUITMENT,963735,1,608.30,FRS STAFF AGENCY,06/09/18,608.30,Finance Services,Human Resources,Human Resources
800118345,HAYS SPECIALIST RECRUITMENT,963736,1,496.44,FRS STAFF AGENCY,06/09/18,496.44,Management Support,Human Resources,Human Resources
800118365,HAYS SPECIALIST RECRUITMENT,963737,1,617.40,FRS STAFF AGENCY,06/09/18,617.40,General Counsel,Human Resources,Human Resources
800118337,HAYS SPECIALIST RECRUITMENT,963738,1,668.43,FRS STAFF AGENCY,06/09/18,668.43,Technical and Service Support,Human Resources,Human Resources
800118368,HAYS SPECIALIST RECRUITMENT,963739,1,"1,515.85",FRS STAFF AGENCY,06/09/18,"1,515.85",Corporate Management Team,Human Resources,Human Resources
800118362,HAYS SPECIALIST RECRUITMENT,963740,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118378,HAYS SPECIALIST RECRUITMENT,963741,1,883.40,FRS STAFF AGENCY,06/09/18,883.40,General Counsel,Human Resources,Human Resources
800118331,HAYS SPECIALIST RECRUITMENT,963742,1,878.85,FRS STAFF AGENCY,06/09/18,878.85,Information and Communication Technology,Human Resources,Human Resources
800118338,HAYS SPECIALIST RECRUITMENT,963743,1,625.10,FRS STAFF AGENCY,06/09/18,625.10,People Services,Human Resources,Human Resources
800118323,HAYS SPECIALIST RECRUITMENT,963744,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Fire Stations (South West),Human Resources,Human Resources
800118350,HAYS SPECIALIST RECRUITMENT,963745,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Fire Stations (South West),Human Resources,Human Resources
800118361,HAYS SPECIALIST RECRUITMENT,963746,1,602.70,FRS STAFF AGENCY,06/09/18,602.70,People Services,Human Resources,Human Resources
800118389,HAYS SPECIALIST RECRUITMENT,963747,1,"1,093.75",FRS STAFF AGENCY,06/09/18,"1,093.75",Grenfell Investigation Team,Human Resources,Human Resources
800118366,HAYS SPECIALIST RECRUITMENT,963748,1,"1,093.40",FRS STAFF AGENCY,06/09/18,"1,093.40",Grenfell Investigation Team,Human Resources,Human Resources
800118359,HAYS SPECIALIST RECRUITMENT,963749,1,421.09,FRS STAFF AGENCY,06/09/18,421.09,Management Support,Human Resources,Human Resources
800118373,HAYS SPECIALIST RECRUITMENT,963750,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118360,HAYS SPECIALIST RECRUITMENT,963751,1,496.44,FRS STAFF AGENCY,06/09/18,496.44,Fire Stations (North West),Human Resources,Human Resources
800118329,HAYS SPECIALIST RECRUITMENT,963752,1,"1,093.40",FRS STAFF AGENCY,06/09/18,"1,093.40",Grenfell Investigation Team,Human Resources,Human Resources
800118376,HAYS SPECIALIST RECRUITMENT,963753,1,873.84,FRS STAFF AGENCY,06/09/18,873.84,People Services,Human Resources,Human Resources
800118351,HAYS SPECIALIST RECRUITMENT,963754,1,496.44,FRS STAFF AGENCY,06/09/18,496.44,Management Support,Human Resources,Human Resources
800118364,HAYS SPECIALIST RECRUITMENT,963755,1,361.62,FRS STAFF AGENCY,06/09/18,361.62,Management Support,Human Resources,Human Resources
800118335,HAYS SPECIALIST RECRUITMENT,963756,1,875.10,FRS STAFF AGENCY,06/09/18,875.10,Information and Communication Technology,Human Resources,Human Resources
800118354,HAYS SPECIALIST RECRUITMENT,963757,1,443.52,FRS STAFF AGENCY,06/09/18,443.52,Fire Engineering & Specialist Fire Safety,Human Resources,Human Resources
800118352,HAYS SPECIALIST RECRUITMENT,963758,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118330,HAYS SPECIALIST RECRUITMENT,963759,1,754.97,FRS STAFF AGENCY,06/09/18,754.97,People Services,Human Resources,Human Resources
800118358,HAYS SPECIALIST RECRUITMENT,963760,1,593.55,FRS STAFF AGENCY,06/09/18,593.55,People Services,Human Resources,Human Resources
800118371,HAYS SPECIALIST RECRUITMENT,963761,1,"1,099.60",FRS STAFF AGENCY,06/09/18,"1,099.60",Technical and Service Support,Human Resources,Human Resources
800118333,HAYS SPECIALIST RECRUITMENT,963762,1,"1,099.60",FRS STAFF AGENCY,06/09/18,"1,099.60",Technical and Service Support,Human Resources,Human Resources
800118341,HAYS SPECIALIST RECRUITMENT,963763,1,"2,111.70",FRS STAFF AGENCY,06/09/18,"2,111.70",Corporate Portfolio Office,Human Resources,Human Resources
800118356,HAYS SPECIALIST RECRUITMENT,963764,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118327,HAYS SPECIALIST RECRUITMENT,963765,1,372.33,FRS STAFF AGENCY,06/09/18,372.33,Fire Stations (North West),Human Resources,Human Resources
800118325,HAYS SPECIALIST RECRUITMENT,963766,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118363,HAYS SPECIALIST RECRUITMENT,963767,1,"1,635.60",FRS STAFF AGENCY,06/09/18,"1,635.60",Information and Communication Technology,Human Resources,Human Resources
800118370,HAYS SPECIALIST RECRUITMENT,963769,1,955.15,FRS STAFF AGENCY,06/09/18,955.15,Procurement,Human Resources,Human Resources
800118343,HAYS SPECIALIST RECRUITMENT,963770,1,852.80,FRS STAFF AGENCY,06/09/18,852.80,Corporate Management Team,Human Resources,Human Resources
800118372,HAYS SPECIALIST RECRUITMENT,963771,1,431.69,FRS STAFF AGENCY,06/09/18,431.69,People Services,Human Resources,Human Resources
800118375,HAYS SPECIALIST RECRUITMENT,963772,1,602.70,FRS STAFF AGENCY,06/09/18,602.70,Finance Services,Human Resources,Human Resources
800118332,HAYS SPECIALIST RECRUITMENT,963773,1,372.33,FRS STAFF AGENCY,06/09/18,372.33,Management Support,Human Resources,Human Resources
800118317,HAYS SPECIALIST RECRUITMENT,963774,1,726.95,FRS STAFF AGENCY,06/09/18,726.95,General Counsel,Human Resources,Human Resources
800118316,HAYS SPECIALIST RECRUITMENT,963775,1,372.33,FRS STAFF AGENCY,06/09/18,372.33,Management Support,Human Resources,Human Resources
800118321,HAYS SPECIALIST RECRUITMENT,963776,1,608.30,FRS STAFF AGENCY,06/09/18,608.30,Finance Services,Human Resources,Human Resources
800118319,HAYS SPECIALIST RECRUITMENT,963777,1,496.44,FRS STAFF AGENCY,06/09/18,496.44,Management Support,Human Resources,Human Resources
800118320,HAYS SPECIALIST RECRUITMENT,963778,1,372.33,FRS STAFF AGENCY,06/09/18,372.33,Management Support,Human Resources,Human Resources
800118315,HAYS SPECIALIST RECRUITMENT,963779,1,926.80,FRS STAFF AGENCY,06/09/18,926.80,People Services,Human Resources,Human Resources
800118318,HAYS SPECIALIST RECRUITMENT,963780,1,533.01,FRS STAFF AGENCY,06/09/18,533.01,People Services,Human Resources,Human Resources
800118308,HAYS SPECIALIST RECRUITMENT,963781,1,"1,038.50",FRS STAFF AGENCY,06/09/18,"1,038.50",General Counsel,Human Resources,Human Resources
800118312,HAYS SPECIALIST RECRUITMENT,963782,1,496.44,FRS STAFF AGENCY,06/09/18,496.44,Management Support,Human Resources,Human Resources
800118309,HAYS SPECIALIST RECRUITMENT,963783,1,608.30,FRS STAFF AGENCY,06/09/18,608.30,Finance Services,Human Resources,Human Resources
800118310,HAYS SPECIALIST RECRUITMENT,963784,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118314,HAYS SPECIALIST RECRUITMENT,963785,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118313,HAYS SPECIALIST RECRUITMENT,963786,1,662.00,FRS STAFF AGENCY,06/09/18,662.00,People Services,Human Resources,Human Resources
800118307,HAYS SPECIALIST RECRUITMENT,963788,1,496.44,FRS STAFF AGENCY,06/09/18,496.44,Management Support,Human Resources,Human Resources
800118305,HAYS SPECIALIST RECRUITMENT,963789,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118304,HAYS SPECIALIST RECRUITMENT,963790,1,372.33,FRS STAFF AGENCY,06/09/18,372.33,Management Support,Human Resources,Human Resources
800118306,HAYS SPECIALIST RECRUITMENT,963791,1,741.44,FRS STAFF AGENCY,06/09/18,741.44,People Services,Human Resources,Human Resources
800118303,HAYS SPECIALIST RECRUITMENT,963792,1,372.33,FRS STAFF AGENCY,06/09/18,372.33,Management Support,Human Resources,Human Resources
800118301,HAYS SPECIALIST RECRUITMENT,963793,1,496.44,FRS STAFF AGENCY,06/09/18,496.44,Management Support,Human Resources,Human Resources
800118302,HAYS SPECIALIST RECRUITMENT,963794,1,536.33,FRS STAFF AGENCY,06/09/18,536.33,Management Support,Human Resources,Human Resources
800118299,HAYS SPECIALIST RECRUITMENT,963795,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118298,HAYS SPECIALIST RECRUITMENT,963796,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118300,HAYS SPECIALIST RECRUITMENT,963797,1,611.68,FRS STAFF AGENCY,06/09/18,611.68,Management Support,Human Resources,Human Resources
800118297,HAYS SPECIALIST RECRUITMENT,963798,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118296,HAYS SPECIALIST RECRUITMENT,963799,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118295,HAYS SPECIALIST RECRUITMENT,963800,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118294,HAYS SPECIALIST RECRUITMENT,963801,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118293,HAYS SPECIALIST RECRUITMENT,963802,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118292,HAYS SPECIALIST RECRUITMENT,963803,1,265.95,FRS STAFF AGENCY,06/09/18,265.95,Management Support,Human Resources,Human Resources
800118289,HAYS SPECIALIST RECRUITMENT,963804,1,496.44,FRS STAFF AGENCY,06/09/18,496.44,Management Support,Human Resources,Human Resources
800118290,HAYS SPECIALIST RECRUITMENT,963805,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118291,HAYS SPECIALIST RECRUITMENT,963806,1,372.33,FRS STAFF AGENCY,06/09/18,372.33,Management Support,Human Resources,Human Resources
800118288,HAYS SPECIALIST RECRUITMENT,963807,1,576.22,FRS STAFF AGENCY,06/09/18,576.22,Management Support,Human Resources,Human Resources
800118286,HAYS SPECIALIST RECRUITMENT,963808,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118287,HAYS SPECIALIST RECRUITMENT,963809,1,611.68,FRS STAFF AGENCY,06/09/18,611.68,Management Support,Human Resources,Human Resources
800118285,HAYS SPECIALIST RECRUITMENT,963810,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118283,HAYS SPECIALIST RECRUITMENT,963811,1,496.44,FRS STAFF AGENCY,06/09/18,496.44,Management Support,Human Resources,Human Resources
800118284,HAYS SPECIALIST RECRUITMENT,963812,1,616.12,FRS STAFF AGENCY,06/09/18,616.12,Management Support,Human Resources,Human Resources
800118282,HAYS SPECIALIST RECRUITMENT,963813,1,496.44,FRS STAFF AGENCY,06/09/18,496.44,Management Support,Human Resources,Human Resources
800118281,HAYS SPECIALIST RECRUITMENT,963814,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118280,HAYS SPECIALIST RECRUITMENT,963815,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118277,HAYS SPECIALIST RECRUITMENT,963816,1,372.33,FRS STAFF AGENCY,06/09/18,372.33,Management Support,Human Resources,Human Resources
800118279,HAYS SPECIALIST RECRUITMENT,963817,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
800118278,HAYS SPECIALIST RECRUITMENT,963818,1,620.55,FRS STAFF AGENCY,06/09/18,620.55,Management Support,Human Resources,Human Resources
030918K,E&S B DAVIS LTD,97,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (South West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,98,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (South West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,99,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North East),Fire & Rescue,Environmental Services
300818F,PITNEY BOWES PURCHASE POWER,BF793652,1,"4,100.25",POSTAL SERVICES,06/09/18,"4,100.25",Information and Communication Technology,Mail Services,Mail Services
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,1,675.43,FUEL,06/09/18,"15,862.97",Procurement,Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,2,529.91,FUEL,06/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,3,468.32,FUEL,06/09/18,,Fire Stations (South West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,4,388.49,FUEL,06/09/18,,Fire Stations (South West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,5,345.59,FUEL,06/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,6,342.39,FUEL,06/09/18,,Fire Stations (South West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,7,339.23,FUEL,06/09/18,,Fire Stations (South West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,8,331.50,FUEL,06/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,9,307.19,FUEL,06/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,10,298.55,FUEL,06/09/18,,Fire Stations (South East),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,11,290.55,FUEL,06/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,12,290.16,FUEL,06/09/18,,Fire Stations (North East),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,13,284.49,FUEL,06/09/18,,Fire Stations (South West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,14,278.90,FUEL,06/09/18,,Fire Stations (North East),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,15,265.44,FUEL,06/09/18,,Fire Stations (South East),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,16,260.69,FUEL,06/09/18,,Fire Stations (South East),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,17,259.70,FUEL,06/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,18,257.21,FUEL,06/09/18,,Fire Stations (North East),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,19,247.59,FUEL,06/09/18,,Fire Stations (South West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,20,242.12,FUEL,06/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,21,242.03,FUEL,06/09/18,,Fire Stations (South East),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,22,236.17,FUEL,06/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,23,232.77,FUEL,06/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,24,232.05,FUEL,06/09/18,,Fire Stations (South East),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,25,231.13,FUEL,06/09/18,,Fire Stations (North East),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,26,225.18,FUEL,06/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,27,221.26,FUEL,06/09/18,,Fire Stations (North East),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,28,216.39,FUEL,06/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,29,200.14,FUEL,06/09/18,,Fire Stations (South West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,30,194.55,FUEL,06/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,31,191.21,FUEL,06/09/18,,Fire Stations (North East),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,32,183.33,FUEL,06/09/18,,Fire Stations (North West),Vehicle Management,Vehicle Management
800118824,ALLSTAR BUSINESS SOLUTIONS LTD,E2010120679,33,182.84,FUEL,06/09/18,,Fire Stations (South West),Vehicle Management,Vehicle Management
